charge_id,fail_id,charge_date,charge_type,charge_amount,charge_currency,charged_party,payment_status,calculation_method,created_at
0a95f683-9a91-4d19-9247-18322f264b31,98207e05-f664-406c-82a8-c638600c4185,2024-02-09,daily_fail_fee,16970.34,USD,seller,paid,"Daily fail fee: 46,414,186.76 × 3.66 bps",2024-02-09T18:47:00
4296d624-e961-4d2f-9500-78f61b918585,2800530e-a53f-4e3f-95be-e23b0a62b05f,2025-01-01,daily_fail_fee,41.88,USD,seller,pending,"Daily fail fee: 100,692.34 × 4.16 bps",2025-01-01T17:01:00
5ae3ec12-4e48-4b90-85ad-ecef2d5c6fe5,2800530e-a53f-4e3f-95be-e23b0a62b05f,2025-01-02,daily_fail_fee,32.6,USD,seller,pending,"Daily fail fee: 100,692.34 × 3.24 bps",2025-01-02T11:52:00
5d6454d4-5eea-43f1-bd99-8b75b7c4e3fd,2800530e-a53f-4e3f-95be-e23b0a62b05f,2025-01-03,daily_fail_fee,15.84,USD,seller,paid,"Daily fail fee: 100,692.34 × 1.57 bps",2025-01-03T14:41:00
dfc3a345-bb8e-407e-ae53-1e74c64aaa55,2800530e-a53f-4e3f-95be-e23b0a62b05f,2025-01-04,daily_fail_fee,18.24,USD,seller,pending,"Daily fail fee: 100,692.34 × 1.81 bps",2025-01-04T18:44:00
9012bd2c-9692-43f7-a7d4-c83d4f1f106b,2800530e-a53f-4e3f-95be-e23b0a62b05f,2025-01-05,daily_fail_fee,39.29,USD,seller,disputed,"Daily fail fee: 100,692.34 × 3.90 bps",2025-01-05T13:57:00
36609e8e-04e2-4a5e-ad0b-4e7ecdc980df,2800530e-a53f-4e3f-95be-e23b0a62b05f,2025-01-06,daily_fail_fee,27.02,USD,seller,paid,"Daily fail fee: 100,692.34 × 2.68 bps",2025-01-06T11:24:00
e90f2886-aa56-429e-a35f-a0f5338672f0,2800530e-a53f-4e3f-95be-e23b0a62b05f,2025-01-07,daily_fail_fee,34.17,USD,seller,paid,"Daily fail fee: 100,692.34 × 3.39 bps",2025-01-07T11:51:00
a72191ad-f89b-4dd3-bfb8-14fac38fde58,2800530e-a53f-4e3f-95be-e23b0a62b05f,2025-01-08,daily_fail_fee,10.59,USD,seller,disputed,"Daily fail fee: 100,692.34 × 1.05 bps",2025-01-08T08:46:00
8e9e8089-5bb6-4a43-b57f-319e6fb11c86,2800530e-a53f-4e3f-95be-e23b0a62b05f,2025-01-09,daily_fail_fee,11.59,USD,seller,pending,"Daily fail fee: 100,692.34 × 1.15 bps",2025-01-09T17:37:00
