ssi_id,trade_id,instruction_type,settlement_method,custodian,custodian_account,agent_bank,payment_currency,instruction_status,affirmation_timestamp,matching_timestamp,created_at
f715fe31-6c50-49dd-bea6-ca811b1f1f74,8c83b348-9181-4432-8b5d-6d691977360a,RVP,DTC,Citi Global Custody,CUST113021,Northern Trust,USD,matched,2024-04-26T03:08:45,2024-04-26T03:31:45,2024-04-25T12:02:45
2916dce2-203d-4268-b502-c3c56cec2338,99064df4-1676-4975-a5cc-3fffde3d15cc,DVP,DTC,Northern Trust,CUST683346,Sumitomo Mitsui Trust Bank,USD,matched,2024-05-11T16:48:41,2024-05-11T17:46:41,2024-05-10T10:40:41
f52158a0-101a-4593-b537-de1a3ed30d1e,8c572008-b935-4f20-a8bd-8fe1b468d61e,RVP,DTC,JP Morgan Chase Bank,CUST519028,Mizuho Trust & Banking,USD,matched,2024-02-08T22:45:48,2024-02-09T00:04:48,2024-02-07T11:20:48
e7550ed0-adc4-4f09-bfb5-007189571b81,07976f51-9b9a-4016-bc51-48432f90e47a,DVP,DTC,Northern Trust,CUST935502,Euroclear Bank,USD,matched,2024-03-02T09:09:30,2024-03-02T10:44:30,2024-03-01T15:14:30
93602898-126a-4db0-b411-715c00322a67,ee13d2a0-3bc1-4f86-83d9-131e16e12e2f,RVP,Clearstream,SIX SIS,CUST666618,Euroclear Bank,CHF,matched,2024-08-27T09:12:22,2024-08-27T09:57:22,2024-08-26T16:44:22
a5443669-60ed-4637-9a48-e612f5684914,b7c0cec3-60f4-4af8-beb8-0af7381c3f62,RVP,JSCC,Clearstream Banking,CUST664422,Mizuho Trust & Banking,JPY,matched,2024-06-13T03:44:20,2024-06-13T05:30:20,2024-06-12T10:28:20
ca66a91d-abc8-4da9-aa0f-f9839b03f9c8,2e79a2f5-6d57-4786-9fbe-ff6c19fb633f,RVP,DTC,Northern Trust,CUST209898,Mizuho Trust & Banking,USD,matched,2024-08-03T00:11:12,2024-08-03T00:56:12,2024-08-01T11:17:12
6305e26c-5a25-4d43-8b0c-bf4b9cc1a89b,d6c89ffc-9386-4889-aa93-d36942aae330,DVP,JSCC,Mizuho Trust & Banking,CUST382206,Mizuho Trust & Banking,JPY,matched,2024-08-24T02:33:50,2024-08-24T03:37:50,2024-08-23T11:13:50
06c73782-d12b-47c0-8d3e-9b15a47c7e1c,86f1de62-042d-49fb-baa4-3379ccc261bd,RVP,Clearstream,Clearstream Banking,CUST279664,BNY Mellon,GBP,matched,2024-02-01T22:18:53,2024-02-01T22:31:53,2024-01-31T16:20:53
aea7417b-9a01-4970-9601-613bb117fa72,f60c0738-105e-4788-b2ea-701ca4af8f8c,DVP,DTC,BNY Mellon,CUST840618,JP Morgan Chase Bank,USD,matched,2024-03-19T18:15:32,2024-03-19T20:11:32,2024-03-18T09:16:32
