settlement_id,trade_id,ssi_id,settlement_reference,scheduled_settlement_date,actual_settlement_date,settlement_status,settlement_amount,settled_quantity,settlement_location,value_date,created_at
6837e55e-518a-498e-a5f7-a25564525fcc,8c83b348-9181-4432-8b5d-6d691977360a,f715fe31-6c50-49dd-bea6-ca811b1f1f74,STL57300592,2024-04-26,2024-04-26,settled,177126.43,782,DTC,2024-04-26,2024-04-26T11:53:00
88232457-96eb-4da8-8a8e-52464f604404,99064df4-1676-4975-a5cc-3fffde3d15cc,2916dce2-203d-4268-b502-c3c56cec2338,STL86727686,2024-05-13,2024-05-13,settled,94059.82,580,DTC,2024-05-13,2024-05-13T12:12:00
52e0f149-3fae-4cec-a34f-10b2065b315d,8c572008-b935-4f20-a8bd-8fe1b468d61e,f52158a0-101a-4593-b537-de1a3ed30d1e,STL22307163,2024-02-08,,failed,46414186.76,,DTC,,2024-02-08T18:49:00
c52adfb0-d8d1-4b86-80cd-0b237cb5d299,07976f51-9b9a-4016-bc51-48432f90e47a,e7550ed0-adc4-4f09-bfb5-007189571b81,STL78785805,2024-03-04,2024-03-04,settled,121385.24,320,DTC,2024-03-04,2024-03-04T18:46:00
bc63536a-bb81-4229-a15f-6f870e735838,ee13d2a0-3bc1-4f86-83d9-131e16e12e2f,93602898-126a-4db0-b411-715c00322a67,STL26735503,2024-08-28,2024-08-28,settled,44283869.43,299448,Clearstream,2024-08-28,2024-08-28T10:02:00
6ecba4d7-f393-4ac3-a89b-5329637a788b,b7c0cec3-60f4-4af8-beb8-0af7381c3f62,a5443669-60ed-4637-9a48-e612f5684914,STL13156663,2024-06-14,2024-06-14,settled,2239877.81,832,JSCC,2024-06-14,2024-06-14T13:31:00
345a5e77-347e-4fa3-adf8-3fc864f08c98,2e79a2f5-6d57-4786-9fbe-ff6c19fb633f,ca66a91d-abc8-4da9-aa0f-f9839b03f9c8,STL95910603,2024-08-02,2024-08-02,settled,5329.54,277,DTC,2024-08-02,2024-08-02T15:51:00
4ac933ca-3b47-4ded-ac83-e1ed8131f057,d6c89ffc-9386-4889-aa93-d36942aae330,6305e26c-5a25-4d43-8b0c-bf4b9cc1a89b,STL10159801,2024-08-27,2024-08-27,settled,188617.68,273,JSCC,2024-08-27,2024-08-27T10:26:00
346dd997-e012-4608-974b-426fd380cb1e,86f1de62-042d-49fb-baa4-3379ccc261bd,06c73782-d12b-47c0-8d3e-9b15a47c7e1c,STL83115848,2024-02-02,2024-02-02,settled,30920.31,948,Clearstream,2024-02-02,2024-02-02T18:48:00
092b92d3-becc-44f1-ac8f-527959b957ec,f60c0738-105e-4788-b2ea-701ca4af8f8c,aea7417b-9a01-4970-9601-613bb117fa72,STL89602636,2024-03-19,2024-03-19,settled,25123.59,150,DTC,2024-03-19,2024-03-19T15:59:00
49cc2d57-d6e9-4277-8fb3-5b6c9a828710,bd3c2826-0179-4d73-98cd-723dc47cae81,8e60e2df-f72a-45aa-953a-413c4c155055,STL37018872,2024-10-11,2024-10-11,settled,3974734.4,685,JSCC,2024-10-11,2024-10-11T14:56:00
69ed2933-6941-44b6-b77d-f87ad1ac40bb,4bfe7311-601f-40e1-82fb-d0a66bb298d8,34bde210-3e4e-4475-b148-a9caf218f326,STL54375853,2024-02-21,2024-02-21,settled,805518.03,835,JSCC,2024-02-21,2024-02-21T08:01:00
e7f4ae96-1237-4ac0-b761-4a0c578e15bf,42465458-0ee3-44e4-aec4-b5a2c69dff51,675c313d-a09f-43a2-831a-1098ecd3af43,STL73117198,2024-01-30,2024-01-30,settled,32656.34,105,DTC,2024-01-30,2024-01-30T11:02:00
c8c53049-d4a7-43e7-a835-fc186dc04c2c,63cc2f62-0038-4f20-9a71-7d50355f2e08,7b4c9f29-d466-47d8-99f2-6ce377a6982b,STL67260591,2024-04-19,2024-04-19,settled,222448.83,926,DTC,2024-04-19,2024-04-19T17:11:00
6188013b-f5c5-4ac9-a9a1-8f7d54eb52f1,d921f0a0-3214-4c95-b6b9-38dacc0ec51e,4bd6cee3-1c29-4c13-8ce4-f3a4c7e8723d,STL95226879,2024-04-17,2024-04-17,settled,30265969.77,104033,DTC,2024-04-17,2024-04-17T17:41:00
43ff3ca9-0079-4d3a-86a4-bcc25caa2c37,4405f7c7-bd58-4bd5-a573-4a7bde9f3387,60b6e084-8cc0-4d20-935b-4e434af716f7,STL53096805,2024-10-04,2024-10-04,settled,133638.09,590,DTC,2024-10-04,2024-10-04T11:03:00
